1-1	0-3	Una
1-2	4-12	paciente
1-3	13-15	de
1-4	16-18	25
1-5	19-23	años
1-6	24-29	acude
1-7	30-31	a
1-8	32-34	la
1-9	35-43	Consulta
1-10	44-46	de
1-11	47-56	Nutrición
1-12	57-61	para
1-13	62-76	monitorización
1-14	77-79	de
1-15	80-82	su
1-16	83-89	estado
1-17	90-101	nutricional
1-18	101-102	;
1-19	103-108	siete
1-20	109-114	meses
1-21	115-120	antes
1-22	121-126	había
1-23	127-131	sido
1-24	132-145	diagnosticada
1-25	146-148	de
1-26	149-156	Colitis
1-27	157-165	Ulcerosa
1-28	166-167	(
1-29	167-169	CU
1-30	169-170	)
1-31	170-171	,
1-32	172-173	y
1-33	174-181	durante
1-34	182-185	ese
1-35	186-193	periodo
1-36	194-199	había
1-37	200-208	recibido
1-38	209-220	tratamiento
1-39	221-224	con
1-40	225-236	corticoides
1-41	236-237	:
1-42	238-255	metilprednisolona
1-43	256-259	1,5
1-44	260-262	mg
1-45	262-263	/
1-46	263-265	kg
1-47	265-266	/
1-48	266-268	24
1-49	269-270	h
1-50	271-273	IV
1-51	274-281	durante
1-52	282-285	dos
1-53	286-291	meses
1-54	292-294	de
1-55	295-302	ingreso
1-56	303-304	y
1-57	305-307	30
1-58	308-310	mg
1-59	310-311	/
1-60	311-313	24
1-61	314-315	h
1-62	316-318	de
1-63	319-329	prednisona
1-64	330-333	por
1-65	334-337	vía
1-66	338-342	oral
1-67	343-345	en
1-68	346-351	pauta
1-69	352-363	descendente
1-70	364-371	durante
1-71	372-375	los
1-72	376-385	restantes
1-73	386-391	cinco
1-74	392-397	meses
1-75	397-398	.

2-1	399-406	Refería
2-2	407-417	artralgias
2-3	418-420	en
2-4	421-426	ambas
2-5	427-435	rodillas
2-6	435-436	,
2-7	437-438	y
2-8	439-441	en
2-9	442-444	la
2-10	445-456	exploración
2-11	457-465	mostraba
2-12	466-471	dolor
2-13	472-473	a
2-14	474-476	la
2-15	477-485	rotación
2-16	486-495	posterior
2-17	496-498	en
2-18	499-502	las
2-19	503-506	dos
2-20	507-514	cabezas
2-21	515-524	femorales
2-22	524-525	,
2-23	526-529	más
2-24	530-538	evidente
2-25	539-541	en
2-26	542-544	la
2-27	545-552	derecha
2-28	552-553	,
2-29	554-560	cadera
2-30	561-564	que
2-31	565-571	además
2-32	572-582	presentaba
2-33	583-586	una
2-34	587-595	rotación
2-35	596-603	interna
2-36	604-612	limitada
2-37	612-613	;
2-38	614-616	la
2-39	617-624	rodilla
2-40	625-634	izquierda
2-41	635-640	tenía
2-42	641-643	el
2-43	644-654	movimiento
2-44	655-657	de
2-45	658-665	flexión
2-46	666-674	reducido
2-47	674-675	,
2-48	676-677	y
2-49	678-680	al
2-50	681-689	explorar
2-51	690-692	la
2-52	693-699	marcha
2-53	700-702	se
2-54	703-712	observaba
2-55	713-725	claudicación
2-56	726-731	hacia
2-57	732-734	el
2-58	735-739	lado
2-59	740-747	derecho
2-60	747-748	.

3-1	750-752	En
3-2	753-756	los
3-3	757-765	análisis
3-4	766-776	realizados
3-5	777-779	no
3-6	780-782	se
3-7	783-793	detectaron
3-8	794-804	marcadores
3-9	805-807	de
3-10	808-821	autoinmunidad
3-11	821-822	,
3-12	823-824	y
3-13	825-828	las
3-14	829-844	concentraciones
3-15	845-856	plasmáticas
3-16	857-859	de
3-17	860-866	calcio
3-18	866-867	,
3-19	868-875	fósforo
3-20	876-877	y
3-21	878-886	vitamina
3-22	887-888	D
3-23	889-896	estaban
3-24	897-903	dentro
3-25	904-907	del
3-26	908-913	rango
3-27	914-916	de
3-28	917-928	nornialidad
3-29	928-929	.

4-1	930-932	La
4-2	933-946	densitometría
4-3	947-951	ósea
4-4	952-953	(
4-5	953-956	DMO
4-6	956-957	)
4-7	958-964	mostró
4-8	965-977	osteoporosis
4-9	978-980	en
4-10	981-983	la
4-11	984-991	columna
4-12	992-998	lumbar
4-13	999-1000	(
4-14	1000-1001	T
4-15	1002-1007	score
4-16	1008-1009	-
4-17	1010-1011	3
4-18	1011-1012	,
4-19	1013-1014	1
4-20	1014-1015	)
4-21	1016-1017	y
4-22	1018-1028	osteopenia
4-23	1029-1031	en
4-24	1032-1034	el
4-25	1035-1041	cuello
4-26	1042-1049	femoral
4-27	1050-1051	(
4-28	1051-1052	T
4-29	1053-1058	score
4-30	1059-1060	-
4-31	1061-1064	1,5
4-32	1064-1065	)
4-33	1065-1066	.

5-1	1067-1070	Las
5-2	1071-1083	radiografias
5-3	1084-1091	simples
5-4	1092-1101	mostraron
5-5	1102-1107	datos
5-6	1108-1118	sugestivos
5-7	1119-1121	de
5-8	1122-1124	NA
5-9	1125-1127	de
5-10	1128-1133	grado
5-11	1134-1136	II
5-12	1137-1139	en
5-13	1140-1145	ambas
5-14	1146-1153	cabezas
5-15	1154-1163	femorales
5-16	1163-1164	,
5-17	1165-1168	más
5-18	1169-1178	evidentes
5-19	1179-1181	en
5-20	1182-1184	el
5-21	1185-1189	lado
5-22	1190-1197	derecho
5-23	1197-1198	;
5-24	1199-1201	en
5-25	1202-1205	las
5-26	1206-1214	rodillas
5-27	1215-1217	se
5-28	1218-1227	observaba
5-29	1228-1231	una
5-30	1232-1238	lesión
5-31	1239-1251	osteocondral
5-32	1252-1254	en
5-33	1255-1257	el
5-34	1258-1265	cóndilo
5-35	1266-1273	femoral
5-36	1274-1281	interno
5-37	1282-1284	de
5-38	1285-1287	la
5-39	1288-1295	rodilla
5-40	1296-1305	izquierda
5-41	1306-1309	con
5-42	1310-1325	irregularidades
5-43	1326-1328	en
5-44	1329-1331	su
5-45	1332-1342	superficie
5-46	1343-1352	articular
5-47	1352-1353	.

6-1	1354-1356	La
6-2	1357-1367	resonancia
6-3	1368-1375	nuclear
6-4	1376-1385	magnética
6-5	1386-1394	confirmó
6-6	1395-1398	las
6-7	1399-1407	lesiones
6-8	1408-1410	de
6-9	1411-1419	necrosis
6-10	1420-1422	en
6-11	1423-1428	ambas
6-12	1429-1436	cabezas
6-13	1437-1446	femorales
6-14	1447-1448	y
6-15	1449-1451	en
6-16	1452-1457	ambas
6-17	1458-1466	rodillas
6-18	1466-1467	,
6-19	1468-1473	tanto
6-20	1474-1476	en
6-21	1477-1479	su
6-22	1480-1484	cara
6-23	1485-1491	tibial
6-24	1492-1496	como
6-25	1497-1499	en
6-26	1500-1502	la
6-27	1503-1510	femoral
6-28	1510-1511	.

7-1	1512-1514	En
7-2	1515-1517	la
7-3	1518-1527	siguiente
7-4	1528-1531	RNM
7-5	1531-1532	,
7-6	1533-1542	realizada
7-7	1543-1546	tan
7-8	1547-1551	sólo
7-9	1552-1553	3
7-10	1554-1559	meses
7-11	1560-1563	más
7-12	1564-1569	tarde
7-13	1569-1570	,
7-14	1571-1573	ya
7-15	1574-1576	se
7-16	1577-1589	evidenciaban
7-17	1590-1595	datos
7-18	1596-1598	de
7-19	1599-1610	hundimiento
7-20	1611-1613	en
7-21	1614-1616	la
7-22	1617-1623	cadera
7-23	1624-1631	derecha
7-24	1631-1632	.

8-1	1636-1638	La
8-2	1639-1647	paciente
8-3	1648-1651	fue
8-4	1652-1659	tratada
8-5	1660-1663	con
8-6	1664-1675	alendronato
8-7	1676-1677	y
8-8	1678-1689	suplementos
8-9	1690-1692	de
8-10	1693-1699	calcio
8-11	1700-1701	y
8-12	1702-1710	vitamina
8-13	1711-1712	D
8-14	1713-1716	por
8-15	1717-1719	su
8-16	1720-1732	osteoporosis
8-17	1732-1733	,
8-18	1734-1736	se
8-19	1737-1749	suspendieron
8-20	1750-1753	los
8-21	1754-1765	corticoides
8-22	1766-1767	y
8-23	1768-1770	se
8-24	1771-1779	aconsejó
8-25	1780-1782	la
8-26	1783-1791	descarga
8-27	1792-1794	de
8-28	1795-1799	peso
8-29	1800-1802	de
8-30	1803-1806	las
8-31	1807-1821	articulaciones
8-32	1822-1831	afectadas
8-33	1831-1832	.
