1-1	0-2	Un
1-2	3-11	paciente
1-3	12-17	varón
1-4	18-20	de
1-5	21-23	28
1-6	24-28	años
1-7	29-31	de
1-8	32-36	edad
1-9	36-37	,
1-10	38-41	sin
1-11	42-54	antecedentes
1-12	55-57	de
1-13	58-65	interés
1-14	65-66	,
1-15	67-75	consultó
1-16	76-79	por
1-17	80-83	una
1-18	84-94	tumoración
1-19	95-100	malar
1-20	101-110	izquierda
1-21	111-121	progresiva
1-22	121-122	,
1-23	123-125	no
1-24	126-134	dolorosa
1-25	134-135	,
1-26	136-139	que
1-27	140-142	se
1-28	143-148	había
1-29	149-155	notado
1-30	156-161	desde
1-31	162-167	hacía
1-32	168-170	15
1-33	171-175	días
1-34	175-176	.

2-1	177-179	No
2-2	180-187	refería
2-3	188-199	antecedente
2-4	200-202	de
2-5	203-214	traumatismo
2-6	215-220	local
2-7	220-221	.

3-1	222-223	A
3-2	224-226	la
3-3	227-238	exploración
3-4	239-241	se
3-5	242-249	palpaba
3-6	250-253	una
3-7	254-260	lesión
3-8	261-263	de
3-9	264-276	consistencia
3-10	277-281	dura
3-11	282-284	en
3-12	285-292	reborde
3-13	293-306	inferoexterno
3-14	307-309	de
3-15	310-312	la
3-16	313-319	órbita
3-17	320-329	izquierda
3-18	329-330	,
3-19	331-333	de
3-20	334-349	aproximadamente
3-21	350-351	1
3-22	352-354	cm
3-23	355-357	de
3-24	358-366	diámetro
3-25	366-367	,
3-26	368-371	sin
3-27	372-384	pulsatilidad
3-28	385-393	aparente
3-29	393-394	.

4-1	398-400	La
4-2	401-410	ecografía
4-3	411-418	Doppler
4-4	419-426	informó
4-5	427-429	de
4-6	430-436	lesión
4-7	437-442	malar
4-8	443-452	expansiva
4-9	452-453	,
4-10	454-466	polilobulada
4-11	466-467	,
4-12	468-471	con
4-13	472-485	calcificación
4-14	486-493	parcial
4-15	494-495	y
4-16	496-499	sin
4-17	500-505	señal
4-18	506-514	vascular
4-19	514-515	.

5-1	516-518	La
5-2	519-529	tomografía
5-3	530-543	computarizada
5-4	544-545	(
5-5	545-547	TC
5-6	547-548	)
5-7	549-558	orbitaria
5-8	559-566	detectó
5-9	567-570	una
5-10	571-577	lesión
5-11	578-585	medular
5-12	586-596	redondeada
5-13	596-597	,
5-14	598-602	bien
5-15	603-611	definida
5-16	611-612	,
5-17	613-616	con
5-18	617-627	estructura
5-19	628-635	interna
5-20	636-647	trabeculada
5-21	648-649	y
5-22	650-659	expansión
5-23	660-668	cortical
5-24	669-672	sin
5-25	673-685	infiltración
5-26	686-688	ni
5-27	689-697	reacción
5-28	698-708	perióstica
5-29	708-709	.

6-1	710-712	La
6-2	713-723	resonancia
6-3	724-733	magnética
6-4	734-735	(
6-5	735-737	RM
6-6	737-738	)
6-7	739-748	describió
6-8	749-752	una
6-9	753-759	lesión
6-10	760-771	osteolítica
6-11	772-777	malar
6-12	778-787	expansiva
6-13	788-790	de
6-14	791-801	16x10x13mm
6-15	801-802	,
6-16	803-806	con
6-17	807-815	márgenes
6-18	816-828	escleróticos
6-19	829-833	bien
6-20	834-843	definidos
6-21	843-844	,
6-22	845-853	ausencia
6-23	854-856	de
6-24	857-869	infiltración
6-25	870-872	de
6-26	873-879	partes
6-27	880-887	blandas
6-28	888-902	perilesionales
6-29	903-904	e
6-30	905-912	intensa
6-31	913-922	captación
6-32	923-925	de
6-33	926-935	contraste
6-34	935-936	.

7-1	940-944	Ante
7-2	945-947	el
7-3	948-959	diagnóstico
7-4	960-962	de
7-5	963-973	presunción
7-6	974-976	de
7-7	977-983	lesión
7-8	984-992	vascular
7-9	993-995	de
7-10	996-1000	bajo
7-11	1001-1006	flujo
7-12	1006-1007	,
7-13	1008-1009	y
7-14	1010-1015	dadas
7-15	1016-1019	las
7-16	1020-1035	características
7-17	1036-1047	progresivas
7-18	1048-1050	de
7-19	1051-1053	la
7-20	1054-1060	lesión
7-21	1060-1061	,
7-22	1062-1064	se
7-23	1065-1072	decidió
7-24	1073-1084	extirpación
7-25	1085-1087	de
7-26	1088-1090	la
7-27	1091-1097	lesión
7-28	1098-1102	bajo
7-29	1103-1112	anestesia
7-30	1113-1120	general
7-31	1120-1121	.

8-1	1122-1123	A
8-2	1124-1130	través
8-3	1131-1133	de
8-4	1134-1136	un
8-5	1137-1145	abordaje
8-6	1146-1155	subciliar
8-7	1156-1165	izquierdo
8-8	1166-1169	con
8-9	1170-1180	ampliación
8-10	1181-1183	en
8-11	1184-1188	cola
8-12	1189-1194	hacia
8-13	1195-1197	el
8-14	1198-1203	malar
8-15	1204-1205	y
8-16	1206-1215	disección
8-17	1216-1219	por
8-18	1220-1226	planos
8-19	1227-1229	se
8-20	1230-1236	expuso
8-21	1237-1239	la
8-22	1240-1246	lesión
8-23	1246-1247	.

9-1	1248-1252	Tras
9-2	1253-1256	una
9-3	1257-1267	osteotomía
9-4	1268-1270	en
9-5	1271-1275	caja
9-6	1276-1286	incluyendo
9-7	1287-1289	un
9-8	1290-1296	margen
9-9	1297-1299	de
9-10	1300-1309	seguridad
9-11	1310-1320	periférico
9-12	1321-1323	de
9-13	1324-1329	0,5cm
9-14	1329-1330	,
9-15	1331-1333	el
9-16	1334-1341	defecto
9-17	1342-1344	se
9-18	1345-1356	reconstruyó
9-19	1357-1360	con
9-20	1361-1368	injerto
9-21	1369-1371	de
9-22	1372-1378	mentón
9-23	1379-1380	y
9-24	1381-1386	placa
9-25	1387-1389	de
9-26	1390-1397	titanio
9-27	1398-1406	arqueada
9-28	1406-1407	.

10-1	1408-1411	Los
10-2	1412-1416	gaps
10-3	1417-1432	intercorticales
10-4	1433-1435	se
10-5	1436-1446	rellenaron
10-6	1447-1449	de
10-7	1450-1455	hueso
