1-1	0-11	Presentamos
1-2	12-14	el
1-3	15-19	caso
1-4	20-22	de
1-5	23-26	una
1-6	27-35	paciente
1-7	36-38	de
1-8	39-41	20
1-9	42-46	años
1-10	47-49	de
1-11	50-54	edad
1-12	55-58	que
1-13	59-64	acude
1-14	65-66	a
1-15	67-69	la
1-16	70-78	Facultad
1-17	79-81	de
1-18	82-93	Odontología
1-19	94-96	de
1-20	97-104	Sevilla
1-21	105-113	derivada
1-22	114-117	por
1-23	118-120	su
1-24	121-134	ortondoncista
1-25	134-135	.

2-1	136-140	Ante
2-2	141-143	la
2-3	144-154	inadecuada
2-4	155-163	posición
2-5	164-167	del
2-6	168-174	canino
2-7	175-183	inferior
2-8	184-193	izquierdo
2-9	194-195	(
2-10	195-203	incluido
2-11	204-206	en
2-12	207-215	posición
2-13	216-226	horizontal
2-14	226-227	)
2-15	227-228	,
2-16	229-231	el
2-17	232-238	canino
2-18	239-247	temporal
2-19	248-251	fue
2-20	252-261	utilizado
2-21	262-265	por
2-22	266-268	el
2-23	269-281	ortodoncista
2-24	282-289	durante
2-25	290-292	el
2-26	293-304	tratamiento
2-27	305-316	ortodóncico
2-28	317-321	como
2-29	322-332	permanente
2-30	332-333	,
2-31	334-336	no
2-32	337-349	considerando
2-33	350-359	apropiado
2-34	360-362	el
2-35	363-370	rescate
2-36	371-374	del
2-37	375-381	diente
2-38	382-392	definitivo
2-39	392-393	.

3-1	394-401	Informó
3-2	402-403	a
3-3	404-406	la
3-4	407-415	paciente
3-5	416-418	de
3-6	419-421	la
3-7	422-432	existencia
3-8	433-435	de
3-9	436-438	la
3-10	439-448	inclusión
3-11	449-457	dentaria
3-12	458-459	y
3-13	460-462	de
3-14	463-465	la
3-15	466-475	necesidad
3-16	476-478	de
3-17	479-481	la
3-18	482-492	extracción
3-19	493-494	o
3-20	495-497	al
3-21	498-503	menos
3-22	504-506	la
3-23	507-517	vigilancia
3-24	518-520	de
3-25	521-523	la
3-26	524-529	misma
3-27	529-530	.

4-1	532-534	En
4-2	535-537	la
4-3	538-549	exploración
4-4	550-561	radiológica
4-5	562-563	(
4-6	563-580	ortopantomografía
4-7	580-581	)
4-8	582-593	comprobamos
4-9	594-596	la
4-10	597-606	inclusión
4-11	607-610	del
4-12	611-617	canino
4-13	618-626	inferior
4-14	627-636	izquierdo
4-15	637-639	en
4-16	640-648	posición
4-17	649-659	horizontal
4-18	660-664	bajo
4-19	665-668	los
4-20	669-675	ápices
4-21	676-678	de
4-22	679-682	los
4-23	683-693	premolares
4-24	694-695	y
4-25	696-703	caninos
4-26	704-714	inferiores
4-27	715-730	contralaterales
4-28	731-732	(
4-29	732-738	patrón
4-30	739-741	de
4-31	742-756	transmigración
4-32	757-758	4
4-33	759-761	de
4-34	762-771	Mupparapu
4-35	772-773	(
4-36	773-774	8
4-37	774-775	)
4-38	775-776	)
4-39	776-777	.

5-1	778-782	Ante
5-2	783-785	la
5-3	786-795	evidencia
5-4	796-798	de
5-5	799-801	la
5-6	802-816	transmigración
5-7	817-820	del
5-8	821-827	canino
5-9	827-828	,
5-10	829-838	indicamos
5-11	839-841	la
5-12	842-852	extracción
5-13	853-856	del
5-14	857-862	mismo
5-15	862-863	.

6-1	864-866	Si
6-2	867-878	siguiéramos
6-3	879-890	controlando
6-4	891-893	el
6-5	894-898	caso
6-6	898-899	,
6-7	900-902	al
6-8	903-912	acercarse
6-9	913-915	el
6-10	916-922	diente
6-11	923-931	incluido
6-12	932-934	al
6-13	935-942	agujero
6-14	943-953	mentoniano
6-15	953-954	,
6-16	955-957	se
6-17	958-968	aumentaría
6-18	969-985	innecesariamente
6-19	986-989	los
6-20	990-997	riesgos
6-21	998-1000	de
6-22	1001-1003	la
6-23	1004-1016	intervención
6-24	1016-1017	,
6-25	1018-1019	a
6-26	1020-1022	la
6-27	1023-1026	vez
6-28	1027-1030	que
6-29	1031-1033	se
6-30	1034-1044	produciría
6-31	1045-1049	casi
6-32	1050-1053	con
6-33	1054-1058	toda
6-34	1059-1068	seguridad
6-35	1069-1076	clínica
6-36	1077-1085	derivada
6-37	1086-1088	de
6-38	1089-1091	la
6-39	1092-1102	irritación
6-40	1103-1106	del
6-41	1107-1113	nervio
6-42	1114-1122	dentario
6-43	1123-1131	inferior
6-44	1132-1135	por
6-45	1136-1141	parte
6-46	1142-1145	del
6-47	1146-1152	diente
6-48	1153-1161	incluido
6-49	1162-1163	(
6-50	1163-1164	9
6-51	1164-1165	,
6-52	1166-1168	10
6-53	1168-1169	)
6-54	1169-1170	.

7-1	1172-1174	Se
7-2	1175-1182	realizó
7-3	1183-1185	la
7-4	1186-1196	extracción
7-5	1197-1198	a
7-6	1199-1205	través
7-7	1206-1208	de
7-8	1209-1212	una
7-9	1213-1221	incisión
7-10	1222-1224	de
